DateTime, Open, High, Low, Close, Volume
0000-00-00 07:05:00,453.45,453.5,453.45,453.5,1302
0000-00-00 07:10:00,453.6,453.6,453.56,453.56,15028
0000-00-00 07:15:00,453.6,453.87,453.6,453.79,12725
0000-00-00 07:20:00,453.76,453.82,453.75,453.76,1098
0000-00-00 07:25:00,453.62,453.62,453.62,453.62,200
0000-00-00 07:30:00,453.72,453.74,453.65,453.65,3753
0000-00-00 07:35:00,453.51,453.56,453.44,453.56,2004
0000-00-00 07:40:00,453.52,453.57,453.49,453.55,9678
0000-00-00 07:45:00,453.55,453.55,453.46,453.5,3215
0000-00-00 07:50:00,453.45,453.65,453.45,453.64,20211
0000-00-00 07:55:00,453.71,454.0,453.71,453.91,6193
0000-00-00 08:00:00,453.41,454.0,452.5,453.7,92014
0000-00-00 08:05:00,453.64,453.69,453.55,453.58,9020
0000-00-00 08:10:00,453.58,453.77,453.57,453.63,4926
0000-00-00 08:15:00,453.62,453.82,453.62,453.72,1516
0000-00-00 08:20:00,453.7,453.95,453.7,453.94,3587
0000-00-00 08:25:00,453.9,453.99,453.68,453.68,5749
0000-00-00 08:30:00,453.71,453.85,453.6501,453.82,10552
0000-00-00 08:35:00,453.85,453.86,453.52,453.52,8505
0000-00-00 08:40:00,453.55,453.65,453.48,453.49,12097
0000-00-00 08:45:00,453.42,453.47,452.95,453.05,30191
0000-00-00 08:50:00,453.08,453.19,453.03,453.09,11794
0000-00-00 08:55:00,453.1,453.1,452.86,452.96,16650
0000-00-00 09:00:00,452.97,453.29,452.97,453.27,14662
0000-00-00 09:05:00,453.24,453.32,453.19,453.3,7932
0000-00-00 09:10:00,453.22,453.38,453.22,453.37,3684
0000-00-00 09:15:00,453.45,453.55,453.41,453.55,21436
0000-00-00 09:20:00,453.52,453.55,453.43,453.45,17553
0000-00-00 09:25:00,453.5,453.5,453.13,453.15,84677
0000-00-00 09:30:00,453.13,453.25,452.26,452.37,1036821
0000-00-00 09:35:00,452.36,452.9,452.33,452.5102,632419
0000-00-00 09:40:00,452.55,453.41,452.55,453.19,785044
0000-00-00 09:45:00,453.19,453.345,452.65,453.3,560239
0000-00-00 09:50:00,453.31,454.11,453.3,454.0621,981737
0000-00-00 09:55:00,454.06,454.7,454.05,454.52,1148149
0000-00-00 10:00:00,454.5,454.64,454.35,454.55,890989
0000-00-00 10:05:00,454.56,454.68,454.34,454.41,724152
0000-00-00 10:10:00,454.42,454.67,454.0,454.14,657396
0000-00-00 10:15:00,454.14,454.15,453.46,454.08,593675
0000-00-00 10:20:00,454.09,454.6699,454.01,454.58,580752
0000-00-00 10:25:00,454.59,454.88,454.42,454.84,624059
0000-00-00 10:30:00,454.83,454.895,454.56,454.59,561441
0000-00-00 10:35:00,454.59,454.95,454.3,454.76,691306
0000-00-00 10:40:00,454.76,454.79,454.1828,454.2201,388702
0000-00-00 10:45:00,454.23,454.71,454.08,454.58,406129
0000-00-00 10:50:00,454.59,454.74,454.37,454.37,348301
0000-00-00 10:55:00,454.3729,454.65,454.21,454.48,347524
0000-00-00 11:00:00,454.45,455.11,454.34,455.025,659328
0000-00-00 11:05:00,455.0,455.305,454.92,455.16,583873
0000-00-00 11:10:00,455.14,455.14,454.76,454.995,639229
0000-00-00 11:15:00,454.995,455.03,454.79,454.98,274840
0000-00-00 11:20:00,454.99,455.09,454.84,455.09,189649
0000-00-00 11:25:00,455.09,455.24,454.95,455.21,295148
0000-00-00 11:30:00,455.2,455.42,455.08,455.15,514832
0000-00-00 11:35:00,455.13,455.235,454.88,455.1499,407098
0000-00-00 11:40:00,455.15,455.24,455.06,455.13,381008
0000-00-00 11:45:00,455.14,455.52,455.02,455.42,551283
0000-00-00 11:50:00,455.42,455.62,455.31,455.6,502912
0000-00-00 11:55:00,455.6,455.71,455.465,455.51,482109
0000-00-00 12:00:00,455.5101,455.57,455.34,455.38,414525
0000-00-00 12:05:00,455.38,455.56,455.31,455.46,336264
0000-00-00 12:10:00,455.48,455.65,455.32,455.63,376202
0000-00-00 12:15:00,455.63,455.65,455.41,455.51,352786
0000-00-00 12:20:00,455.51,455.58,455.36,455.47,225065
0000-00-00 12:25:00,455.47,455.64,455.42,455.5654,194768
0000-00-00 12:30:00,455.57,455.69,455.49,455.57,289125
0000-00-00 12:35:00,455.56,455.61,455.05,455.185,412869
0000-00-00 12:40:00,455.19,455.2,454.84,455.025,449155
0000-00-00 12:45:00,455.03,455.18,454.91,455.14,415614
0000-00-00 12:50:00,455.14,455.2,454.99,455.09,224476
0000-00-00 12:55:00,455.08,455.0968,454.9072,454.92,268753
0000-00-00 13:00:00,454.91,454.94,454.68,454.89,288658
0000-00-00 13:05:00,454.88,454.99,454.74,454.93,310033
0000-00-00 13:10:00,454.93,454.97,454.84,454.92,207786
0000-00-00 13:15:00,454.925,455.205,454.83,455.14,226351
0000-00-00 13:20:00,455.11,455.25,455.03,455.18,182010
0000-00-00 13:25:00,455.18,455.31,455.11,455.25,171219
0000-00-00 13:30:00,455.25,455.43,455.23,455.31,285525
0000-00-00 13:35:00,455.3,455.4,455.13,455.1401,254410
0000-00-00 13:40:00,455.15,455.39,455.09,455.39,144925
0000-00-00 13:45:00,455.385,455.4,455.255,455.27,194481
0000-00-00 13:50:00,455.28,455.48,455.27,455.415,181822
0000-00-00 13:55:00,455.4,455.78,455.39,455.715,353296
0000-00-00 14:00:00,455.71,455.765,455.48,455.745,405491
0000-00-00 14:05:00,455.75,455.805,455.09,455.13,537053
0000-00-00 14:10:00,455.13,455.305,454.99,455.215,288291
0000-00-00 14:15:00,455.22,455.55,455.11,455.53,377866
0000-00-00 14:20:00,455.54,455.63,455.43,455.605,306649
0000-00-00 14:25:00,455.6,455.9,455.59,455.87,452618
0000-00-00 14:30:00,455.87,455.995,455.66,455.985,400852
0000-00-00 14:35:00,455.985,456.08,455.9,455.995,382326
0000-00-00 14:40:00,455.99,456.0,455.87,455.96,331044
0000-00-00 14:45:00,455.95,456.23,455.93,455.99,584263
0000-00-00 14:50:00,455.99,456.24,455.87,456.225,363038
0000-00-00 14:55:00,456.225,456.26,456.01,456.06,314942
0000-00-00 15:00:00,456.04,456.13,455.835,456.075,490686
0000-00-00 15:05:00,456.08,456.31,456.02,456.165,433079
0000-00-00 15:10:00,456.17,456.315,455.9,456.1699,439425
0000-00-00 15:15:00,456.16,456.2,455.94,456.01,304500
0000-00-00 15:20:00,456.015,456.36,456.015,456.315,459030
0000-00-00 15:25:00,456.315,456.35,456.015,456.1,263301
0000-00-00 15:30:00,456.11,456.2917,455.975,456.15,537173
0000-00-00 15:35:00,456.14,456.34,456.08,456.26,594834
0000-00-00 15:40:00,456.252,456.41,455.87,455.9,791495
0000-00-00 15:45:00,455.88,456.44,455.73,456.121,1154423
0000-00-00 15:50:00,456.16,456.78,456.13,456.53,2221991
0000-00-00 15:55:00,456.53,456.83,455.96,456.78,3449686
0000-00-00 16:00:00,456.77,456.93,456.5,456.55,2679648
0000-00-00 16:05:00,456.56,456.75,456.52,456.61,470715
0000-00-00 16:10:00,456.66,456.72,456.53,456.55,179150
0000-00-00 16:15:00,456.56,456.8,456.55,456.7,84756
0000-00-00 16:20:00,456.7,456.8,456.7,456.8,119499
0000-00-00 16:25:00,456.8,456.82,456.73,456.73,12039
0000-00-00 16:30:00,456.73,456.8,456.7,456.75,156020
0000-00-00 16:35:00,456.77,456.83,456.76,456.82,7988
0000-00-00 16:40:00,456.88,456.9,456.83,456.84,22556
0000-00-00 16:45:00,456.87,456.87,456.66,456.66,1485
0000-00-00 16:50:00,456.64,456.7,456.59,456.7,5350
0000-00-00 16:55:00,456.7,456.73,456.58,456.58,2643
0000-00-00 17:00:00,456.51,456.65,456.51,456.6,7747
0000-00-00 17:05:00,456.58,456.6,456.52,456.6,4270
0000-00-00 17:10:00,456.6,456.6,456.51,456.51,2133
0000-00-00 17:15:00,456.6,456.6,456.6,456.6,331
0000-00-00 17:20:00,456.6,456.65,456.56,456.56,3959
0000-00-00 17:25:00,456.6,456.75,456.6,456.7,22483
0000-00-00 17:30:00,456.71,456.71,456.7,456.7,2373
0000-00-00 17:35:00,456.6601,456.69,456.66,456.67,900
0000-00-00 17:40:00,456.66,456.66,456.59,456.59,6386
0000-00-00 17:45:00,456.68,456.68,456.61,456.61,615
0000-00-00 17:50:00,456.61,456.62,456.61,456.62,899
0000-00-00 18:00:00,456.68,456.68,456.51,456.58,15590
0000-00-00 18:05:00,456.56,456.62,456.5,456.5,2090
0000-00-00 18:10:00,456.55,456.62,456.55,456.57,1312
0000-00-00 18:15:00,456.55,456.57,456.51,456.51,1688
0000-00-00 18:20:00,456.51,456.52,456.49,456.52,381
0000-00-00 18:25:00,456.49,456.57,456.47,456.57,3324
0000-00-00 18:30:00,456.46,456.5,456.46,456.5,462
0000-00-00 18:35:00,456.47,456.5,456.45,456.47,3676
0000-00-00 18:40:00,456.48,456.8,456.4,456.47,89450
0000-00-00 18:45:00,456.49,456.55,456.49,456.52,695
0000-00-00 18:50:00,456.5,456.5,456.45,456.5,1100
0000-00-00 18:55:00,456.49,456.49,456.49,456.49,100
0000-00-00 19:00:00,456.5,456.53,456.5,456.53,3925
0000-00-00 19:05:00,456.5,456.53,456.48,456.51,2940
0000-00-00 19:10:00,456.5,456.5,456.46,456.47,2438
0000-00-00 19:15:00,456.47,456.51,456.47,456.51,619
0000-00-00 19:20:00,456.5,456.5,456.45,456.45,3817
0000-00-00 19:25:00,456.45,456.5,456.45,456.49,600
0000-00-00 19:30:00,456.57,456.59,456.5,456.59,650
0000-00-00 19:35:00,456.59,456.62,456.54,456.62,6090
0000-00-00 19:40:00,456.6,456.62,456.55,456.55,13805
0000-00-00 19:45:00,456.55,456.55,456.45,456.45,8098
0000-00-00 19:50:00,456.45,456.46,456.43,456.43,2843
0000-00-00 19:55:00,456.47,456.47,456.33,456.35,12241
